#time	y	u
0.000100	0.000000	0.000000
0.000200	0.000000	0.000000
0.000300	0.000000	0.000000
0.000400	0.000000	0.000000
0.000500	0.000000	0.000000
0.000600	0.000000	0.000000
0.000700	0.000000	0.000000
0.000800	0.000000	0.000000
0.000900	0.000000	0.000000
0.001000	0.000000	0.000000
0.001100	0.000000	0.000000
0.001200	0.000000	0.000000
0.001300	0.000000	0.000000
0.001400	0.000000	0.000000
0.001500	0.000000	0.000000
0.001600	0.000000	0.000000
0.001700	0.000000	0.000000
0.001800	0.000000	11.000000
0.001900	0.001346	11.000000
0.002000	0.005178	11.000000
0.002100	0.011210	11.000000
0.002200	0.019186	11.000000
0.002300	0.028874	11.000000
0.002400	0.040065	11.000000
0.002500	0.052572	11.000000
0.002600	0.066227	11.000000
0.002700	0.080877	11.000000
0.002800	0.096386	11.000000
0.002900	0.112632	11.000000
0.003000	0.129505	11.000000
0.003100	0.146906	11.000000
0.003200	0.164747	11.000000
0.003300	0.182948	11.000000
0.003400	0.201439	11.000000
0.003500	0.220156	11.000000
0.003600	0.239043	11.000000
0.003700	0.258049	11.000000
0.003800	0.277129	11.000000
0.003900	0.296242	11.000000
0.004000	0.315354	11.000000
0.004100	0.334433	11.000000
0.004200	0.353450	11.000000
0.004300	0.372382	11.000000
0.004400	0.391206	11.000000
0.004500	0.409903	11.000000
0.004600	0.428457	11.578000
0.004700	0.446908	11.578000
0.004800	0.465292	11.578000
0.004900	0.483585	11.578000
0.005000	0.501767	11.578000
0.005100	0.519821	11.578000
0.005200	0.537733	11.578000
0.005300	0.555487	11.578000
0.005400	0.573073	11.578000
0.005500	0.590482	11.578000
0.005600	0.607704	11.578000
0.005700	0.624732	11.578000
0.005800	0.641561	11.578000
0.005900	0.658185	11.578000
0.006000	0.674600	11.578000
0.006100	0.690804	11.578000
0.006200	0.706793	11.578000
0.006300	0.722566	11.578000
0.006400	0.738122	11.578000
0.006500	0.753459	11.578000
0.006600	0.768579	11.578000
0.006700	0.783480	11.578000
0.006800	0.798164	11.578000
0.006900	0.812632	11.578000
0.007000	0.826884	11.578000
0.007100	0.840922	11.578000
0.007200	0.854748	11.578000
0.007300	0.868364	11.578000
0.007400	0.881771	11.578000
0.007500	0.894972	11.578000
0.007600	0.907970	8.051000
0.007700	0.920426	8.051000
0.007800	0.932058	8.051000
0.007900	0.942938	8.051000
0.008000	0.953135	8.051000
0.008100	0.962710	8.051000
0.008200	0.971718	8.051000
0.008300	0.980208	8.051000
0.008400	0.988227	8.051000
0.008500	0.995815	8.051000
0.008600	1.003009	8.051000
0.008700	1.009843	8.051000
0.008800	1.016348	8.051000
0.008900	1.022550	8.051000
0.009000	1.028476	8.051000
0.009100	1.034148	8.051000
0.009200	1.039586	8.051000
0.009300	1.044809	8.051000
0.009400	1.049835	8.051000
0.009500	1.054678	8.051000
0.009600	1.059353	8.051000
0.009700	1.063871	8.051000
0.009800	1.068246	8.051000
0.009900	1.072487	8.051000
0.010000	1.076604	8.051000
0.010100	1.080606	8.051000
0.010200	1.084500	8.051000
0.010300	1.088294	8.051000
0.010400	1.091994	8.051000
0.010500	1.095606	8.051000
0.010600	1.099137	8.051000
0.010700	1.102590	8.051000
0.010800	1.105971	5.478000
0.010900	1.109036	5.478000
0.011000	1.111579	5.478000
0.011100	1.113657	5.478000
0.011200	1.115321	5.478000
0.011300	1.116614	5.478000
0.011400	1.117580	5.478000
0.011500	1.118254	5.478000
0.011600	1.118670	5.478000
0.011700	1.118858	5.478000
0.011800	1.118845	5.478000
0.011900	1.118656	5.478000
0.012000	1.118311	5.478000
0.012100	1.117832	5.478000
0.012200	1.117236	5.478000
0.012300	1.116538	5.478000
0.012400	1.115753	5.478000
0.012500	1.114894	5.478000
0.012600	1.113972	5.478000
0.012700	1.112998	5.478000
0.012800	1.111981	5.478000
0.012900	1.110929	5.478000
0.013000	1.109850	5.478000
0.013100	1.108750	5.314000
0.013200	1.107620	5.314000
0.013300	1.106451	5.314000
0.013400	1.105251	5.314000
0.013500	1.104028	5.314000
0.013600	1.102788	5.314000
0.013700	1.101537	5.314000
0.013800	1.100279	5.314000
0.013900	1.099020	5.314000
0.014000	1.097763	5.314000
0.014100	1.096512	5.314000
0.014200	1.095270	5.314000
0.014300	1.094040	5.314000
0.014400	1.092824	5.314000
0.014500	1.091625	5.314000
0.014600	1.090444	5.314000
0.014700	1.089283	5.314000
0.014800	1.088143	5.314000
0.014900	1.087025	5.314000
0.015000	1.085931	5.314000
0.015100	1.084862	5.314000
0.015200	1.083818	5.314000
0.015300	1.082799	5.314000
0.015400	1.081807	5.314000
0.015500	1.080841	5.314000
0.015600	1.079902	5.314000
0.015700	1.078990	5.314000
0.015800	1.078106	5.314000
0.015900	1.077248	5.314000
0.016000	1.076418	5.314000
0.016100	1.075616	5.314000
0.016200	1.074841	5.314000
0.016300	1.074092	5.314000
0.016400	1.073371	5.314000
0.016500	1.072676	5.314000
0.016600	1.072008	5.314000
0.016700	1.071367	5.314000
0.016800	1.070751	4.487000
0.016900	1.070082	4.487000
0.017000	1.069291	4.487000
0.017100	1.068395	4.487000
0.017200	1.067410	4.487000
0.017300	1.066348	4.487000
0.017400	1.065221	4.487000
0.017500	1.064040	4.487000
0.017600	1.062816	4.487000
0.017700	1.061555	4.487000
0.017800	1.060267	4.487000
0.017900	1.058958	4.487000
0.018000	1.057633	4.487000
0.018100	1.056300	4.487000
0.018200	1.054962	4.487000
0.018300	1.053623	4.487000
0.018400	1.052288	4.487000
0.018500	1.050961	4.487000
0.018600	1.049643	4.487000
